" No. "," No. of clusters "," Normalization formula "," Distance measure "," Clustering method ","G2 index","Rank"
"85","2","Without normalization","Squared Euclidean","median","0.647887094938458","91"
"86","3","Without normalization","Squared Euclidean","median","0.797601391559096","67"
"87","4","Without normalization","Squared Euclidean","median","0.832123629547287","54"
"88","5","Without normalization","Squared Euclidean","median","0.896393169897641","23"
"89","2","Without normalization","GDM1","single","0.701595052083333","78"
"90","3","Without normalization","GDM1","single","0.855006587615283","40"
"91","4","Without normalization","GDM1","single","0.898625310859353","16"
"92","5","Without normalization","GDM1","single","0.968847739182667","1"
"93","2","Without normalization","GDM1","complete","0.82878529004963","55"
"94","3","Without normalization","GDM1","complete","0.713298228471129","76"
"95","4","Without normalization","GDM1","complete","0.864081691832888","34"
"96","5","Without normalization","GDM1","complete","0.882666666666667","25"
"97","2","Without normalization","GDM1","average","0.849576822916667","41"
"98","3","Without normalization","GDM1","average","0.902903268668615","13"
"99","4","Without normalization","GDM1","average","0.922589857768258","8"
"100","5","Without normalization","GDM1","average","0.968847739182667","2"
"101","2","Without normalization","GDM1","mcquitty","0.723265531762678","75"
"102","3","Without normalization","GDM1","mcquitty","0.875235741096768","30"
"103","4","Without normalization","GDM1","mcquitty","0.881906754724384","26"
"104","5","Without normalization","GDM1","mcquitty","0.921809653642644","9"
"105","2","Without normalization","GDM1","ward.D","0.767239136091595","72"
"106","3","Without normalization","GDM1","ward.D","0.904009609959412","12"
"107","4","Without normalization","GDM1","ward.D","0.937835535569247","7"
"108","5","Without normalization","GDM1","ward.D","0.967332427062637","3"
